LegalNm,BusNm,Address,City,State,Country,Zipcode,Phone_Number,Website,Total_Assets,Clients
"THE FREEDOM EXPERIENCE, INC.","THE FREEDOM EXPERIENCE, INC.",,,,,,847-579-9675,https://www.linkedin.com/in/chadtennant/,10000375,0
"INFINITY WEALTHCARE, LLC","INFINITY WEALTHCARE, LLC",,,,,,718-360-3954,http://www.infinitywealthcare.com,10003376,1-10
BRSQUARED L.L.C.,BRSQUARED L.L.C.,,,,,,408-674-7292,https://linkedin.com/in/rachna-bijlani-cfpÂ®-191430103,10004818,1-10
A B L E WEALTH MANAGEMENT SOLUTIONS LLC,A B L E WEALTH MANAGEMENT SOLUTIONS LLC,3380 TRAVIS POINTE ROAD,ANN ARBOR,MI,United States,48108,734-786-3875,http://www.ablewms.com/,10010665,0
"YOUNG, GUY CAMERON",YOUNG FINANCIAL & INSURANCE SERVICES,,,,,,(650)652-9150,HTTP://WWW.YOUNGFINANCIAL.COM,10013000,0
"PEARL, AMY",ACORN FINANCIAL PLANNING,,,,,,650-279-1010,HTTP://WWW.ACORNFP.COM,10015000,1-10
BULL & BEAR ADVISORS LLC,BULL & BEAR ADVISORS LLC,,,,,,813-318-2537,https://bull-bear.com,10017471,
HIGHGATE FINANCIAL PARTNERS LLC,HIGHGATE FINANCIAL PARTNERS,32107 LINDERO CANYON ROAD,WESTLAKE VILLAGE,CA,United States,91361,818-699-6277,https://www.linkedin.com/in/jeff-pippin-35624512,10021005,1-10
ANTONIO STEVEN ANDRADE,"ANTONIO ANDRADE, CFP",401 WEST MILL STREET,UKIAH,CA,United States,95482-5435,707-462-4930,,10034206,11-25
"MONMOUTH INVESTMENT ADVISORS, LLC","MONMOUTH INVESTMENT ADVISORS, LLC",,,,,,(732)224-0151,,10037827,1-10
"PERSONAL BUSINESS MANAGEMENT SERVICES, LLC.","PERSONAL BUSINESS MANAGEMENT SERVICES, LLC.",,,,,,954-594-0691,,10039987,11-25
"MAIN STREET WEALTH MANAGEMENT, LLC","MAIN STREET WEALTH MANAGEMENT, LLC",,,,,,315-516-8052,https://www.mainstwm.com,10040064,1-10
MERAKI ADVISORS LLC,MERAKI ADVISORS LLC,1901 N AKARD ST.,DALLAS,TX,United States,75201,214-206-5198,,10041049,0
NESHAMINY CREEK FINANCIAL ADVISORY CORP.,NESHAMINY CREEK ADVISORS,,,,,,215-962-3744,https://www.facebook.com/NeshaminyCreekAdvisors/?ref=aymt_homepage_panel&eid=ARAKyJh3MwIhelpeQGXr0KwGZxDxQBw7pAFkglCwPAmxYVSKzRl,10043623,0
"MIDWEST CAPITAL FINANCIAL ADVISORS, LLC","MIDWEST CAPITAL FINANCIAL ADVISORS, LLC",226 N 12TH ST,DECATUR,IN,United States,46733,260-724-4472,http://midwestcapital.net/,10051159,0
ECHO PRUDENT CAPITAL LLC,ECHO PRUDENT CAPITAL LLC,,,,,,(312) 547-9102,,10053000,0
"MADISON MONEY MANAGEMENT, INC.","MADISON MONEY MANAGEMENT, INC.",,,,,,914-271-4011,,10058000,
"WISDOM INVESTMENT STRATEGIES, LLC","WISDOM INVESTMENT STRATEGIES, LLC",,,,,,440-435-9010,HTTP://WWW.WISDOMISLLC.COM,10071748,1-10
SAFEWATER INVESTMENT MANAGEMENT LLC,SAFEWATER INVESTMENT MANAGEMENT LLC,,,,,,678-640-4595,,10073200,11-25
"STRIVENT FINANCIAL, LLC",STRIVENT FINANCIAL,,,,,,800-893-6783,http://www.striventfinancial.com/,10076906,26-50
DLW PLANNING INC.,DLW PLANNING INC.,,,,,,309-825-6949,HTTP://WWW.DLWPLANNING.COM,10087156,0
"CROPSEY ASSET MANAGEMENT, LLC","CROPSEY ASSET MANAGEMENT, LLC",,,,,,203-665-6431,HTTP://WWW.CROPSEYAM.COM,10092627,
"CRIS CAPITAL, LTD.","CRIS CAPITAL, LTD.",810 S MASON RD,KATY,TX,United States,77450,281-665-3081,https://www.criscapital.com/,10095595,
"RIDLEY ASSET MANAGEMENT, LLC","RIDLEY ASSET MANAGEMENT, LLC",,,,,,415-381-5583,HTTPS://WWW.RIDLEYASSET.COM,10099261,
"FENDZ ASSET MANAGEMENT, INC.","FENDZ ASSET MANAGEMENT, INC.",2997 DAY AVENUE,COCUNUT GROVE,FL,United States,33133,305-562-1944,HTTP://WWW.FENDZUSA.COM,10100000,1-10
CHURCH ORGANIZERS FOUNDATION,CHURCH ORGANIZERS FOUNDATION,,,,,,517-755-8770,http://www.churchorganizers.org/,10100000,1-10
"SMEAC FINANCIAL, LLC","SMEAC FINANCIAL, LLC",,,,,,615-385-7184,HTTPS://SMEACFINANCIAL.COM/,10100000,0
COCHRAN WEALTH LLC,COCHRAN WEALTH LLC,,,,,,404-844-8325,HTTP://WWW.COCHRANWEALTH.COM,10100954,11-25
WILSON HOLDINGS LLC,WILSON FINANCIAL ADVISORY SERVICES,107 N CHAUNCEY ST,COLUMBIA CITY,IN,United States,46725,260-450-1942,,10110000,
"PETERSON, LEE, LOUIS",PETERSON FINANCIAL SERVICES,,,,,,(760) 845-7253,,10131796,0
"GASKIN, HARRY THOMAS","G, G, & M  FINANCIAL GOALS",,,,,,703-549-5208,,10134400,11-25
FINANCIAL SPECTRUM INC.,FINANCIAL SPECTRUM INC.,800 WEST AVENUE,JENKINTOWN,PA,United States,19046-2831,215-659-5723,http://www.FinancialSpectrum.com,10140000,1-10
VANDEBERG ASSOCIATES LLC,VANDEBERG ASSOCIATES LLC,,,,,,608-827-2933,,10140000,0
NEWAGE ADVISORS LLC,NEWAGE ADVISORS LLC,120 N. WASHINGTON SQUARE,LANSING,MI,United States,48933,(517) 618-9558,HTTP://WWW.NEWAGEADVISORS.COM,10141777,26-50
SUPREME ALLIANCE LLC,SUPREME ALLIANCE LLC,,,,,,561-460-2870,HTTP://WWW.SUPREMEALLIANCELLC.COM,10150600,51-100
KRS TAX & INVESTMENTS INC.,KRS TAX & INVESTMENTS INC.,,,,,,650-336-3444,HTTPS://KRSINVEST.NET,10162000,0
"PLANVESTING, LLC","PLANVESTING, LLC",,,,,,810-923-0165,HTTP://WWW.PLANVESTING.COM,10163678,0
PARKMOUNT FINANCIAL PARTNERS LLC,PARKMOUNT FINANCIAL PARTNERS LLC,,,,,,978-846-0665,HTTPS://WWW.PARKMOUNTFINANCIAL.COM,10165349,0
PARKMOUNT FINANCIAL PARTNERS LLC,PARKMOUNT FINANCIAL PARTNERS LLC,,,,,,978-846-0665,HTTPS://WWW.PARKMOUNTFINANCIAL.COM,10165349,0
R.M. DUNCAN CAPITAL MANAGEMENT CORPORATION,R.M. DUNCAN CAPITAL MANAGEMENT CORPORATION,10201 W MARKHAM ST,LITTLE ROCK,AR,United States,72205,501-280-0200,,10166114,
"MCCURDY, GILLION & ASSOCIATES, LLC","MCCURDY, GILLION & ASSOCIATES, LLC",189 SOUTH ORANGE AVENUE,ORLANDO,FL,United States,32801,407-902-2852,,10171994,0
"ARETI CAPITAL ADVISORS, LLC","ARETI CAPITAL ADVISORS, LLC",888 EAST LAS OLAS BLVD,FORT LAUDERDALE,FL,United States,33301,305-904-0156,https://aretiadvisors.com/,10173624,
"MKG CAPITAL MANAGEMENT, LLC","MKG CAPITAL MANAGEMENT, LLC",,,,,,415-282-7902,HTTP://WWW.MKGCAPITAL.COM,10178800,1-10
"ALL WEATHER PORTFOLIO MANAGEMENT, INC.","ALL WEATHER PORTFOLIO MANAGEMENT, INC.",23276 SOUTH POINTE DR,LAGUNA HILLS,CA,United States,92653,949-586-2999,,10190290,11-25
"ZYKOFSKY, STEPHEN MARK","ZYKOFSKY, STEPHEN MARK",,,,,,781-593-9250,,10191176,0
"EMERGENT GLOBAL INVESTMENTS, LLC",EMERGENT GLOBAL INVESTMENTS,"2525 PONCE DE LEON BLVD, STE 300",CORAL GABLES,FL,United States,33134,305-497-8243,https://www.linkedin.com/in/cesarmurillocima/,10197322,0
"OAK TREE WEALTH MANAGEMENT, LLC",OAK TREE WEALTH MANAGEMENT,101 N. SHORELINE BLVD.,CORPUS CHRISTI,TX,United States,78401,361-452-0226,HTTPS://WWW.OTWM.NET,10200000,0
"FERRY CAPITAL MANAGEMENT, LLC",FERRY CAPITAL MANAGEMENT LLC,,,,,,612-327-0768,,10200000,0
"JS ALAN, LLC","JS ALAN, LLC",468 N. CAMDEN DR.,BEVERLY HILLS,CA,United States,90210,310-858-5533,,10200000,0
"COLUMBIA STRATEGIC WEALTH ADVISORS, LLC","COLUMBIA STRATEGIC WEALTH ADVISORS, LLC",9030 35TH AVENUE SW,SEATTLE,WA,United States,98126,206-701-9196,https://www.columbiaswa.com/,10200000,0
"LIFEWATER WEALTH MANAGEMENT, LLC",LIFEWATER WEALTH MANAGEMENT,2180 SATELLITE BLVD,DULUTH,GA,United States,30097,770-800-8432,https://www.lifewaterwealthmanagement.com,10215468,1-10
"CAMBRIA CAPITAL, LLC",CAMBRIA CAPITAL LLC,488 E. WINCHESTER STREET,SALT LAKE CITY,UT,United States,84107,801-320-9606,HTTP://WWW.CAMBRIACAPITAL.COM,10218301,0
"H.I.T. INVESTMENTS, LLC","H.I.T. CAPITAL, LLC",,,,,,309-253-7887,HTTPS://WWW.HITINVESTMENTSLLC.COM,10220000,0
"ENCORE INVESTMENT ADVISORS, LLC","ENCORE INVESTMENT ADVISORS, LLC",,,,,,(508) 504-7155 EXT: 800,https://encoreia.com,10222785,1-10
"1294 MONTGOMERY, LLC",WESTWARD PLANNING GROUP,,,,,,610-529-2211,https://www.facebook.com/westwardplans,10225600,11-25
"LIFECRAFT FINANCIAL PLANNING, LLC","LIFECRAFT FINANCIAL PLANNING, LLC",4325 COMMERCE ST,EUGENE,OR,United States,97402,949-287-1621,https://www.lifecraftfp.com,10228892,1-10
"GADIRAJU, RAJU","GADIRAJU, RAJU",,,,,,972-758-7983,https://www.linkedin.com/in/raju-g-1731021/,10229390,
TEMA GLOBAL LIMITED,TEMA GLOBAL LIMITED,"2ND FLOOR, THE LE GALLAIS BUILDING","ST. HELIER, JERSEY",,Jersey,JE1 1FW,447948254411,https://dawnglobal.com/,10230000,
SHANNON INVESTMENT MANAGEMENT LLC,SHANNON INVESTMENT MANAGEMENT,,,,,,508-468-8397,HTTP://WWW.SHANNONINVESTMENT.COM,10235968,
RIMAR CAPITAL LLC,RIMAR CAPITAL LLC,,,,,,442-777-3730,https://www.instagram.com/rimarcapital/?hl=en,10238136,
BENCHMARK CAPITAL MANAGEMENT CORPORATION,BENCHMARK CAPITAL MANAGEMENT CORPORATION,386 STATE STREET,PORTSMOUTH,NH,United States,03801,603-433-1984,,10240779,
"HARVESTER WEALTH, LLC","HARVESTER WEALTH, LLC",6301 GASTON AVENUE,DALLAS,TX,United States,75214,(214) 210-5860,https://harvesterwealth.com,10242586,1-10
VASSALOTTI INVESTMENT MANAGEMENT CORPORATION,VIMCOR,1409 3RD AVE,DUNCANSVILLE,PA,United States,16635,814-693-5093,HTTPS://WWW.VIMCOR.COM,10250000,0
"MMI ASSET MANAGEMENT SERVICES, LLC","MMI FINANCIAL GROUP, INC.","120 W. EXCHANGE STREET, SUITE 103A",OWOSSO,MI,United States,48867,989-725-9878,HTTP://WWW.MMIFINANCIALGROUP.COM,10254685,1-10
